Z011VendorNo,Z011VendorName,VendorNames,n,weight,N,prob,weightedScore
50204,RENOLD CANADA,RENOLD CANADA LIMITE,41,0.14285714285714285,86,0.47674418604651164,0.0681063122923588
50205,REXNORD,REXNORD,28,1,28,1,1
50206,RICHARD,RICHARD,2,1,2,1,1
50207,RIGID ZERO MAX,RIGID ZERO MAX,2,1,2,1,1
50208,RINGBALL,RINGBALL,3,1,6,0.5,0.5
50208,RINGBALL,RINGBALL CORPORATION,3,0.08333333333333333,6,0.5,0.041666666666666664
50209,ROBOT COUPE,ROBOT COUPE,1,1,2,0.5,0.5
50209,ROBOT COUPE,ROBOT COUPE PARTS,1,0.16666666666666666,2,0.5,0.08333333333333333
50210,ROSS CONTROLS,ROSS CONTROLS,1,1,1,1,1
50211,SW,SW,2,1,2,1,1
50212,SAMUEL STRAPPING,SAMUEL STRAPPING,74,1,74,1,1
50213,SCHAEFFLER,SCHAEFFLER,7,1,14,0.5,0.5
50213,SCHAEFFLER,SCHAEFFLER CANADA INC,7,0.09090909090909091,14,0.5,0.045454545454545456
50214,SCHLUMPF,SCHLUMPF,14,1,14,1,1
50215,SCHMERSAL,SCHMERSAL,4,1,4,1,1
50216,SCHNEIDER ELECTRIC,SCHNEIDER ELECTRIC,21,1,22,0.9545454545454546,0.9545454545454546
50216,SCHNEIDER ELECTRIC,SQUARED,1,0.06666666666666667,22,0.045454545454545456,0.0030303030303030303
50217,SEALMASTER,SEALMASTER,13,1,13,1,1
50218,SECO,SECO,2,1,2,1,1
50219,SEMIKRON,SEMIKRON,2,1,2,1,1
50220,SERVICENTER,SERVICENTRE,1,1,1,1,1
50221,SEW,SEW,1,1,1,1,1
50222,SEYMOUR,SEYMOUR,12,1,12,1,1
50223,SHARPIE,SHARPIE,2,1,2,1,1
50224,SHIMPO,SHIMPO,6,1,6,1,1
50225,SICK,SICK,16,1,16,1,1
50226,SIEMENS,SIEMENS,21,1,21,1,1
50227,SIMONEX,SIMONEX,8,1,8,1,1
50228,SIT,SIT,2,1,2,1,1
50229,SKF,SKF,315,1,315,1,1
50230,SLAENAUR,SLAENAUR,2,1,2,1,1
50232,SLUG BUSTER,GREENLEE,5,0.1111111111111111,10,0.5,0.05555555555555555
50232,SLUG BUSTER,SLUG BUSTER,5,1,10,0.5,0.5
50233,SMC PNEUMATICS,MHI,1,0.08333333333333333,51,0.0196078431372549,0.001633986928104575
50233,SMC PNEUMATICS,SMC PNEUMATICS,32,1,51,0.6274509803921569,0.6274509803921569
50233,SMC PNEUMATICS,SMC PNEUMATICS CANADA LTD,18,0.09090909090909091,51,0.35294117647058826,0.03208556149732621
50234,SOLA,SOLA,4,1,4,1,1
50235,SOLUS,SOLUS,2,1,2,1,1
50236,SPAENAUR,SPAENAUR,35,1,38,0.9210526315789473,0.9210526315789473
50236,SPAENAUR,SPAENAUR INC,1,0.25,38,0.02631578947368421,0.006578947368421052
50236,SPAENAUR,SPEANUR,1,0.5,38,0.02631578947368421,0.013157894736842105
50236,SPAENAUR,SPLAENAUR,1,1,38,0.02631578947368421,0.02631578947368421
50237,SPRAYING SYSTEMS,SPRAYING SYSTEM,3,1,6,0.5,0.5
50237,SPRAYING SYSTEMS,SPRAYING SYSTEMS,3,1,6,0.5,0.5
50238,SPRECHER SCHUH,SPRECHER SCHUH,3,1,3,1,1
50239,STAKON,STAKON,32,1,33,0.9696969696969697,0.9696969696969697
50239,STAKON,THOMAS & BETTS,1,0.07692307692307693,33,0.030303030303030304,0.002331002331002331
50240,STAUBLI,STAUBLI,2,1,2,1,1
50241,STAUFF,STAUFF,2,1,2,1,1
50242,STILSON,STILSON,3,1,3,1,1
50243,STRAPCO,STRAPCO,29,1,29,1,1
50244,SULLAIR,SULLAIR,177,1,177,1,1
50245,SUN AUTOMATISATION,SUN AUTOMATISATION,42,1,42,1,1
50246,TANIS,TANIS,1,1,1,1,1
50247,TB WOODS,TB WOODS,8,1,8,1,1
50248,TECHNICAL BEARINGS,TECHNICAL BEARINGS,1,1,2,0.5,0.5
50248,TECHNICAL BEARINGS,TECHNICAL BEARINGS SALES LTD,1,0.1,2,0.5,0.05
50249,TECKNO VALVE,TECKNO VALVE,3,1,6,0.5,0.5
50249,TECKNO VALVE,TECKNO VALVES RS INC,3,0.125,6,0.5,0.0625
50250,TEEJET,TEEJET,2,1,2,1,1
50251,TELEMECANIQUE,SCHNEIDER ELECTRIC,6,0.06666666666666667,19,0.3157894736842105,0.021052631578947368
50251,TELEMECANIQUE,telemecanique,3,0.07692307692307693,19,0.15789473684210525,0.012145748987854251
50251,TELEMECANIQUE,TELEMECANIQUE,10,1,19,0.5263157894736842,0.5263157894736842
50252,THK,THK,20,1,23,0.8695652173913043,0.8695652173913043
50252,THK,THK CANADA,3,0.14285714285714285,23,0.13043478260869565,0.018633540372670804
50253,THOMAS  BETTS,THOMAS  BETTS,7,1,171,0.04093567251461988,0.04093567251461988
50253,THOMAS  BETTS,THOMAS & BETTS,164,1,171,0.9590643274853801,0.9590643274853801
50254,TIDLAND,TIDLAND,2,1,2,1,1
50255,TIMKEN,TIMKEN,66,1,132,0.5,0.5
50255,TIMKEN,TIMKEN CANADA LP,66,0.1,132,0.5,0.05
50256,TKM,TKM,1,1,1,1,1
50257,TOM BRAND,T-O-M BRAND,1,0.5,3,0.3333333333333333,0.16666666666666666
50257,TOM BRAND,WC BRAHAM,1,0.16666666666666666,3,0.3333333333333333,0.05555555555555555
50257,TOM BRAND,WC BRANHAM,1,0.16666666666666666,3,0.3333333333333333,0.05555555555555555
50258,TOPRING,TOPRING,24,1,24,1,1
50259,TRANSFAB,TRANSFAB,10,1,10,1,1
50260,TREGASKISS,TREGASKISS,2,1,2,1,1
50261,TRICO,TRICO,4,1,4,1,1
50262,TRUARC,TRUARC,2,1,2,1,1
50263,TSUBAKI CA,TSUBAKI CA,1,1,2,0.5,0.5
50263,TSUBAKI CA,TSUBAKI OF CANADA LTD,1,0.09090909090909091,2,0.5,0.045454545454545456
50264,TUFFGRADE,TUFFGRADE,2,1,2,1,1
50265,TURCK,TURCK,14,1,14,1,1
50266,TYRAP,THOMAS  BETTS,7,0.09090909090909091,22,0.3181818181818182,0.028925619834710745
50266,TYRAP,THOMAS & BETTS,7,0.08333333333333333,22,0.3181818181818182,0.026515151515151512
50266,TYRAP,TYRAP,8,1,22,0.36363636363636365,0.36363636363636365
50267,ULTRASAFE,MERSEN,4,0.14285714285714285,6,0.6666666666666666,0.09523809523809523
50267,ULTRASAFE,ULTRASAFE,2,1,6,0.3333333333333333,0.3333333333333333
50268,UVEX,UVEX,7,1,7,1,1
50269,VALCO,MHI,1,0.2,122,0.00819672131147541,0.0016393442622950822
50269,VALCO,VALCO,121,1,122,0.9918032786885246,0.9918032786885246
50270,VICAS,VICAS,2,1,2,1,1
50271,VICKERS,EATON,10,0.14285714285714285,23,0.43478260869565216,0.06211180124223602
50271,VICKERS,EATON CORPORATIONVICKER,1,0.05555555555555555,23,0.043478260869565216,0.0024154589371980675
50271,VICKERS,EATON VICKERS,1,0.16666666666666666,23,0.043478260869565216,0.007246376811594202
50271,VICKERS,VICKERS,11,1,23,0.4782608695652174,0.4782608695652174
50272,W MEYER  SONS,W MEYER  SONS,16,1,16,1,1
50273,WALTER,WALTER,95,1,95,1,1
50274,WEIDMULLER,WEIDMULER,1,1,2,0.5,0.5
50274,WEIDMULLER,WEIDMULLER,1,1,2,0.5,0.5
50275,WEIMA,WEIMA,7,1,7,1,1
50276,WELDMATE,WELD MATE,1,1,4,0.25,0.25
50276,WELDMATE,WELDMATE,3,1,4,0.75,0.75
50277,WESTINGHOUSE,WESTINGHOUSE,2,1,2,1,1
50278,WILDEN,WILDEN,62,1,62,1,1
50279,WILKERSON,WILKERSON,2,1,2,1,1
50280,WORLDWIDE,WORLDWIDE,1,1,1,1,1
50281,YUEQING BETHEL,YUEQING BETHEL,5,1,5,1,1
50282,ZENITH,ZENITH,4,1,4,1,1
50283,ZIMMER,ZIMMER,1,1,1,1,1
50284,ZINGA INDUSTRIES,ZINGA,1,0.09090909090909091,3,0.3333333333333333,0.030303030303030304
50284,ZINGA INDUSTRIES,ZINGA INDUSTRIES,2,1,3,0.6666666666666666,0.6666666666666666
50285,ABB,ABB,99,1,99,1,1
50286,ACME,ACME,2,1,2,1,1
50287,ADAPTA  BEACON,ADAPTA  BEACON,1,1,1,1,1
50288,ALADCO,ALADCO,1,1,1,1,1
50290,ALLENAIR CORP,ALLENAIR CORP,1,1,1,1,1
50291,AMCAN BEARING COMPANY,AMCAN BEARING COMPANY,1,1,1,1,1
50292,AMI,AMI,1,1,1,1,1
50293,ANVIL,ANVIL,2,1,2,1,1
50294,APPLETON,APPLETON,8,1,8,1,1
50295,ARC,ARC,5,1,5,1,1
50296,ARO,ARO,25,1,25,1,1
50297,AUBE,AUBE,1,1,1,1,1
50298,AVENTICS INC,AVENTICS INC,3,1,3,1,1
50299,BK,BK,79,1,79,1,1
50300,BANVIL 2000,BANVIL 2000,1,1,1,1,1
50301,BEGUELLI,BEGUELLI,1,1,1,1,1
50303,BLACKBURN,BLACKBURN,5,1,5,1,1
50307,CABLE,CABLE,3,1,3,1,1
50308,CAMFLIT,CAMFLIT,1,1,1,1,1
50309,CASTROL,CASTROL,1,1,1,1,1
50310,CATU,CATU,1,1,1,1,1
50311,CELLO PRODUCTS INC,CELLO PRODUCTS INC,15,1,15,1,1
50312,CEMARLINE,CEMARLINE,1,1,1,1,1
50313,CERTIFIED LABS,CERTIFIED LABS,1,1,1,1,1
50314,CFI,CFI,1,1,1,1,1
50315,COLORKEYED,COLORKEYED,1,1,1,1,1
50316,COLUMBIA MBF,COLUMBIA MBF,8,1,8,1,1
50317,COMMONWEALTH,COMMONWEALTH,1,1,1,1,1
50318,CONTROLE AIR,CONTROLE AIR,1,1,1,1,1
50319,COPAR CORPORATION,COPAR CORPORATION,28,1,28,1,1
50320,CORNELL DUBILIER,CORNELL DUBILIER,1,1,1,1,1
50321,COWPER INC,COWPER INC,2,1,2,1,1
50322,CR SKF CHICAGO RAWHIDE,CR SKF CHICAGO RAWHIDE,2,1,3,0.6666666666666666,0.6666666666666666
50322,CR SKF CHICAGO RAWHIDE,SKF,1,0.05263157894736842,3,0.3333333333333333,0.017543859649122806
50323,CROSS MFG INC,CROSS MFG INC,1,1,1,1,1
50325,CUTLERHAMMER,CUTLER HAMMER,2,1,8,0.25,0.25
50325,CUTLERHAMMER,CUTLERHAMMER,5,1,8,0.625,0.625
50325,CUTLERHAMMER,CUTTLERHAMMER,1,1,8,0.125,0.125
50326,DALTON GEAR,DALTON GEAR,2,1,2,1,1
50327,DATALOGIC,DATALOGIC,1,1,1,1,1
50328,DAYCO,DAYCO,4,1,4,1,1
50331,DUPONT,DUPONT,1,1,1,1,1
50332,DURACELL,DURACELL,1,1,1,1,1
50334,ELETTRIC80,ELETTRIC80,7,1,7,1,1
50335,EAM MOSCA,EAM MOSCA,33,1,33,1,1
50336,EBMPAPST,EBM PAPST,3,1,6,0.5,0.5
50336,EBMPAPST,EBMPAPST,3,1,6,0.5,0.5
50337,ECHOTAPE,ECHOTAPE,2,1,2,1,1
50338,ELECTRA,ELECTRA,3,1,3,1,1
50339,ERICO,ERICO,1,1,1,1,1
50340,FAIRCHILD,FAIRCHILD,1,1,1,1,1
50341,FERRAZ SHAWMUT,FERRAZ SHAWMUT,151,1,151,1,1
50342,FIDELITY PAC METALS LTD,FIDELITY PAC METALS LTD,123,1,123,1,1
50344,FORMSPRAG CLUTCH,FORMSPRAG,1,0.14285714285714285,3,0.3333333333333333,0.047619047619047616
50344,FORMSPRAG CLUTCH,FORMSPRAG CLUTCH,2,1,3,0.6666666666666666,0.6666666666666666
50345,FP OUTDOOR LIGHTING,FP OUTDOOR LIGHTING,1,1,1,1,1
50346,FYH,FYH,3,1,3,1,1
50347,GAST,GAST,4,1,4,1,1
50349,GOODYEAR,GOODYEAR,1,1,1,1,1
50350,GRACO,GRACO,2,1,2,1,1
50351,GRASSLIN,GRASSLIN,1,1,1,1,1
50352,GRAYMILLS,GRAYMILLS,7,1,7,1,1
50353,GREENLEE,GREENLEE,1,1,1,1,1
50354,GROTE,GROTE,1,1,1,1,1
50355,HAMMOND MANUFACTURING,HAMMOND MANUFACTURING,2,1,2,1,1
50356,HAMMOND POWER SOLUTIONS,HAMMOND POWER SOLUTIONS,1,1,1,1,1
50357,HAWE HYDRAULIC,HAWE HYDRAULIC,1,1,1,1,1
50360,HYDROLICO INC,HYDROLICO INC,1,1,1,1,1
50361,HYPERLINE,HYPERLINE,1,1,1,1,1
50362,HYSTER,HYSTER,2,1,2,1,1
50363,IDEAL,IDEAL,1,1,1,1,1
50364,ILSCO,ILSCO,2,1,2,1,1
50366,INTERMATIC,INTERMATIC,3,1,3,1,1
50367,IPEX,IPEX,6,1,6,1,1
50368,ISOSTATIC INDUSTRIES INC,ISOSTATIC INDUSTRIES INC,54,1,54,1,1
50369,JERGENS,JERGENS,1,1,1,1,1
50370,JINAN MEIDE,JINAN MEIDE,91,1,91,1,1
50371,JKL COMPONENTS,JKL COMPONENTS,1,1,1,1,1
50372,KB ELECTRONIQUE,KB LECTRONIQUE,1,1,1,1,1
50373,KENDALL,KENDALL,1,1,1,1,1
50374,KLEIN,KLEIN,16,1,16,1,1
50375,KLUBER,KLUBER,2,1,2,1,1
50376,KML,KML,2,1,2,1,1
50377,LAFCO,LAFCO,25,1,25,1,1
50378,LANGSTON,LANGSTON,8,1,8,1,1
50379,LEESON,LEESON,1,1,1,1,1
50380,LESLIE,LESLIE,1,1,1,1,1
50381,LEVITON,LEVITON,15,1,15,1,1
50382,LEXAN,LEXAN,1,1,1,1,1
50383,LINE PROCESS CONTROLS INC,LINE PROCESS CONTROLS INC,2,1,2,1,1
50384,LINEMASTER,LINE MASTER,1,1,4,0.25,0.25
50384,LINEMASTER,LINEMASTER,3,1,4,0.75,0.75
50385,LITHONIA,LITHONIA,1,1,1,1,1
50386,LOVEJOY,LOVEJOY,1,1,1,1,1
50387,LOWELL CORPORATION,LOWELL CORPORATION,1,1,1,1,1
50389,LUBRIPLATE,LUBRIPLATE,1,1,1,1,1
50390,LUMBERG,LUMBERG,1,1,1,1,1
50391,MAC,MAC,1,1,1,1,1
50393,MAGNECRAFT,MAGNECRAFT,1,1,1,1,1
50394,MARCUS,MARCUS,1,1,1,1,1
50396,MAXIFLEX,MAXIFLEX,3,1,3,1,1
50397,MCR,MCR,1,1,1,1,1
50398,METAFLUX,METAFLUX,1,1,1,1,1
50399,MOBIL,MOBIL,8,1,8,1,1
50400,MONARCH,MONARCH,1,1,1,1,1
50401,MRC,MRC,1,1,1,1,1
50402,MUELLER,MUELLER,1,1,1,1,1
50403,MYERS,MYERS,7,1,7,1,1
50404,NEAPCO,NEAPCO,1,1,1,1,1
50406,PANDUIT,PANDUIT,3,1,3,1,1
50407,PBC LINEAR,PBC LINEAR,1,1,1,1,1
50408,PELICAN,PELICAN,1,1,1,1,1
50409,PHILIPS,PHILIPS,15,1,15,1,1
50410,PNEUTECK INC,PNEUTECK INC,1,1,1,1,1
50411,PNEUTROL,PNEUTROL,1,1,1,1,1
50412,POLYMOTION LTD,POLYMOTION LTD,1,1,1,1,1
50413,POLYWATER,POLYWATER,1,1,1,1,1
50414,PRECISION MULTIPLE CONTRO,PRECISION MULTIPLE CONTROLS,3,0.5,3,1,0.5
50415,PRIMARYFLUID,PRIMARYFLUID,1,1,1,1,1
50416,PROAX TECHNOLOGIES LTEE,PROAX TECHNOLOGIES LTEE,1,1,1,1,1
50417,RAB,RAB,2,1,2,1,1
50418,RACKATIERS,RACKATIERS,1,1,1,1,1
50419,RE,RE,1,1,1,1,1
50420,READING TECHNOLOGIES,READING TECHNOLOGIES,1,1,1,1,1
50421,REX MANUFACTURING,REX MANUFACTURIND,1,1,1,1,1
50423,RHP,RHP,1,1,1,1,1
50424,RINGSPANN CORPORATION,RINGSPANN CORPORATION,1,1,1,1,1
50425,RITTAL,RITTAL,2,1,2,1,1
50426,ROD ENDS MECHANICAL LTD,ROD ENDS MECHANICAL LTD,3,1,3,1,1
50427,RTI,RTI,1,1,1,1,1
50428,RUB,RUB,1,1,1,1,1
50429,SANDPIPER,SANDPIPER,81,1,81,1,1
50430,SCEPTER,SCEPTER,4,1,4,1,1
50431,SCHROEDER,SCHROEDER,1,1,1,1,1
50432,SELECTPART,SELECTPART,1,1,1,1,1
50433,SHELL,SHELL,1,1,1,1,1
50434,SIGNODE,SIGNODE,4,1,4,1,1
50436,SMART SUPPLIES,SMART SUPPLIES,3,1,3,1,1
50437,SPICER,SPICER,2,1,2,1,1
50438,SQUARE D,SQUARE D,5,1,5,1,1
50439,STAFFORD CORRUGATED,STAFFORD CORRUGATED,3,1,3,1,1
50440,STANDARD,STANDARD,12,1,12,1,1
50442,STELPRO,STELPRO,1,1,1,1,1
50443,STEWART WARNER CORP CDN L,STEWART WARNER CORP CDN LTD,1,0.5,1,1,0.5
50444,SUPERIOR GLOVE WORKS LTD,SUPERIOR GLOVE WORKS LTD,1,1,1,1,1
50445,TCP,TCP,1,1,1,1,1
50446,THOMSON INDUSTRIES,THOMSON INDUSTRIES,1,1,1,1,1
50447,TOMPAC,TOMPAC,1,1,1,1,1
50448,TRANSFORCE BELTAL INC,TRANSFORCE BELTAL INC,2,1,2,1,1
50449,TTC,TTC,2,1,2,1,1
50451,WARD,WARD,2,1,2,1,1
50452,WARNER ELECTRIC INC,WARNER ELECTRIC INC,2,1,2,1,1
50454,WATTS WATER TECHNOLOGIES,WATTS WATER TECHNOLOGIES,1,1,1,1,1
50455,WERA,WERA,3,1,3,1,1
50456,WIKA INSTRUMENTS LTD,WIKA INSTRUMENTS LTD,1,1,1,1,1
50457,WINTERS INSTRUMENTS,WINTERS INSTRUMENTS,1,1,1,1,1
50458,YUKEN,YUKEN,1,1,1,1,1
50459,EATON AIRFLEX,EATON AIRFLEX,1,1,1,1,1
